Type,Method,Peak,Analysis,Area
Non-purified,B,peak 6,4º,6.58
Non-purified,B,peak 7,1º,8.68
Non-purified,B,peak 7,2º,9.16
Non-purified,B,peak 7,3º,9.21
Non-purified,B,peak 7,4º,9.33
Non-purified,B,peak 8,1º,4.72
Non-purified,B,peak 8,2º,4.33
Non-purified,B,peak 8,3º,4.47
Non-purified,B,peak 8,4º,4.26
Non-purified,B,peak 9,1º,1.7
Non-purified,B,peak 9,2º,1.58
Non-purified,B,peak 9,3º,1.86
Non-purified,B,peak 9,4º,1.94
Non-purified,B,peak 10,1º,1.54
Non-purified,B,peak 10,2º,1.2
Non-purified,B,peak 10,3º,1.79
Non-purified,B,peak 10,4º,0.97
Non-purified,C,peak 1,1º,1.08
Non-purified,C,peak 1,2º,1.63
Non-purified,C,peak 1,3º,1.49
Non-purified,C,peak 1,4º,1.36
Non-purified,C,peak 2,1º,10.41
Non-purified,C,peak 2,2º,11.13
Non-purified,C,peak 2,3º,10.64
Non-purified,C,peak 2,4º,10.96
Non-purified,C,peak 3,1º,0.81
Non-purified,C,peak 3,2º,0.95
Non-purified,C,peak 3,3º,0.68
Non-purified,C,peak 3,4º,1.28
Non-purified,C,peak 4,1º,55.73
Non-purified,C,peak 4,2º,57.29
Non-purified,C,peak 4,3º,55
Non-purified,C,peak 4,4º,54.12
Non-purified,C,peak 5,1º,7.62
Non-purified,C,peak 5,2º,7.87
Non-purified,C,peak 5,3º,8.36
Non-purified,C,peak 5,4º,8.41
Non-purified,C,peak 6,1º,7.01
Non-purified,C,peak 6,2º,7.17
Non-purified,C,peak 6,3º,7.13
Non-purified,C,peak 6,4º,6.96
Non-purified,C,peak 7,1º,9.17
Non-purified,C,peak 7,2º,7.94
Non-purified,C,peak 7,3º,9.08
Non-purified,C,peak 7,4º,9.22
Non-purified,C,peak 8,1º,4.7
Non-purified,C,peak 8,2º,3.87
Non-purified,C,peak 8,3º,4.61
Non-purified,C,peak 8,4º,4.66
Non-purified,C,peak 9,1º,1.52
Non-purified,C,peak 9,2º,0.93
Non-purified,C,peak 9,3º,1.33
Non-purified,C,peak 9,4º,1.35
Non-purified,C,peak 10,1º,1.93
Non-purified,C,peak 10,2º,1.22
Non-purified,C,peak 10,3º,1.41
Non-purified,C,peak 10,4º,1.68
Non-purified,D,peak 1,1º,1.48
Non-purified,D,peak 1,2º,1.39
Non-purified,D,peak 1,3º,1.78
Non-purified,D,peak 1,4º,1.53
